日期,排名,电影ID,电影名称,影片英文名称,当前票房(万),累计票房(万),累计场次,累计人次(万),天数,票房占比,当前场次,当前人次(万),人次占比,累计上映天数,场均人次,场均收入,上映日期,黄金场票房(万),黄金场场次,黄金场人次(万),黄金场排座(万),黄金场场均人次,票房环比,场次环比,人次环比,场次占比,上午场票房(万),上午场场次,上午场人次(万),下午场票房(万),下午场场次,下午场人次(万),加映场票房(万),加映场场次,加映场人次(万),上座率,黄金场票房占比,黄金场场次占比,黄金场人次占比,黄金场上座率,票房占全国比,当前排座(万),排座占比
2023-10-25,18,39654,孤注一掷,No More Bets,76418.34,3850005887,5216734,92958251,1,0.21,1234,2030,0.22,79,2,62,2023-08-08,14788.39,206,393,20983,2,-13.1,6.2,-13.06,0.36,8688.22,169,224,38929.87,630,1023,9776.86,134,269,1.75,19.35,16.69,19.36,1.87,100,116244,0.28
2023-10-25,19,39555,力量密码,The Source Of Power,67750,16131465.12,12372,438686,1,0.19,43,1820,0.2,117,42,1576,2023-07-01,14572.5,5,399,488,80,-10.11,-14,-12.33,0.01,0,0,0,18722.5,7,523,0,0,0,47.1,21.51,11.63,21.92,81.76,100,3864,0.01
2023-10-25,20,39699,第八个嫌疑人,Dust To Dust,59049.7,439181448.9,1781490,10448850,1,0.16,618,4469,0.49,47,7,96,2023-09-09,2854.7,83,78,8362,1,355.49,20.23,1238.02,0.18,6074.44,92,541,7153.32,245,296,3117.24,103,76,7.18,4.83,13.43,1.75,0.93,100,62277,0.15
2023-10-25,21,39763,白塔之光,The Shadowless Tower,49309,131007.5,12,2500,1,0.14,1,902,0.1,-1,902,49309,2023-10-27,49309,1,902,1008,902,221.01,-50,97.81,0,0,0,0,0,0,0,0,0,0,89.48,100,100,100,89.48,100,1008,0
2023-10-25,22,39406,望道,Manifesto,47670,80460071.53,136852,1908202,1,0.13,16,1042,0.11,216,65,2979,2023-03-24,930,1,36,73,36,70.25,166.67,78.12,0,7500,2,175,7240,4,156,2500,1,50,38.97,1.95,6.25,3.45,49.32,100,2674,0.01
2023-10-25,23,39770,拯救嫌疑人,Who’s the suspect,47037,52237,4,644,1,0.13,3,540,0.06,-6,180,15679,2023-11-01,47037,1,540,301,540,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,33.33,100,179.4,100,301,0
2023-10-25,24,39737,贝肯熊：火星任务,BACKKOM BEAR: MARS MISSION,46432.25,72101885.82,287681,1966413,1,0.13,3038,1409,0.15,28,0,15,2023-09-28,15437.77,676,485,65721,1,10.18,-2.97,11.38,0.89,5609.36,635,165,22326.65,1522,663,284.47,14,8,0.5,33.25,22.25,34.42,0.74,100,280522,0.67
2023-10-25,25,36770,苍穹,the sky,30640,16713300,2990,427041,1,0.08,5,766,0.08,,153,6128,,0,0,0,0,0,-1.42,0,-1.42,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,2298,0.01
2023-10-25,26,39609,封神第一部：朝歌风云,Fengshen Trilogy,28865.64,2634514048,3687567,60687296,1,0.08,625,665,0.07,98,1,46,2023-07-20,6996.9,94,163,10885,2,10.59,3.14,6.74,0.18,4764.84,85,102,14506.78,262,337,2562.12,42,62,1.23,24.24,15.04,24.51,1.5,100,54219,0.13
2023-10-25,27,39722,敢死队4：最终章,Expend4bles,21477.59,156216924.3,1249066,4575995,1,0.06,647,705,0.08,41,1,33,2023-09-15,3803.83,96,120,10113,1,7.14,2.05,6.98,0.19,1975.51,87,62,8837.1,276,293,6318.49,141,210,1.1,17.71,14.84,17.02,1.19,100,63950,0.15
2023-10-25,28,39733,功夫王之萌虎上山,KUNG FU TIGER,20436.02,4912403.56,30054,131238,1,0.06,113,412,0.04,27,4,181,2023-09-29,1756.67,17,37,1541,2,-76.08,-8.87,-79.79,0.03,283,38,7,18396.35,48,368,0,1,0,4.01,8.6,15.04,8.98,2.4,100,10273,0.02
2023-10-25,29,39633,热烈,One And Only,17103.31,913023574.4,1518057,22058155,1,0.05,105,459,0.05,90,4,163,2023-07-28,3115.45,26,77,2706,3,220.13,22.09,245.11,0.03,359.6,10,11,12753.8,62,350,874.46,9,21,3.97,18.22,24.76,16.78,2.85,100,11557,0.03
2023-10-25,30,39759,故园飘梦,Lingering Dream of Homeland,16384.42,66855.79,531,2444,1,0.05,168,612,0.07,3,4,98,2023-10-23,3789.44,34,141,3698,4,-28.5,-5.62,-28.59,0.05,1252.97,37,50,8829.99,76,326,2487.02,17,94,3.42,23.13,20.24,23.04,3.81,100,17895,0.04
2023-10-25,31,39679,青春破晓,LIGHTING THE YOUNG,10470,58367,88,1895,1,0.03,1,349,0.04,64,349,10470,2023-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,1047,0
2023-10-25,32,38829,邓小平小道,The Man Of People,9450,26655358.65,66281,755970,1,0.03,2,270,0.03,552,135,4725,2022-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,810,0
2023-10-25,33,39756,一个和四个,One and Four,9111.4,124616.4,31,2807,1,0.03,4,216,0.02,-1,54,2278,2023-10-27,3226.4,2,91,232,46,-54.97,-20,-58.06,0,0,0,0,5885,1,125,0,0,0,55.53,35.41,50,42.13,39.22,100,389,0
2023-10-25,34,39778,少年先锋,YOUNG PIONEERS,8250,10440,2,348,1,0.02,1,275,0.03,-45,275,8250,2023-12-10,0,0,0,0,0,276.71,0,276.71,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,825,0
2023-10-25,35,39736,我是哪吒2之英雄归来,I Am Nezha,7186.4,16661691.94,88294,459784,1,0.02,744,219,0.02,27,0,10,2023-09-29,2147.58,129,64,13131,0,23.12,-1.33,25.86,0.22,535.84,173,17,4081.38,347,128,251.6,9,6,0.33,29.88,17.34,29.22,0.49,100,66875,0.16
2023-10-25,36,39563,爸爸，我懂你了,Second Chance with Dad,6025,786860.89,2842,16810,1,0.02,3,241,0.03,132,80,2008,2023-06-16,0,0,0,0,0,0,50,0,0,0,0,0,6025,2,241,0,0,0,70.47,0,0,0,0,100,342,0
2023-10-25,37,39731,看不见的顶峰,Invisible Summit,5775,393105.16,848,10191,1,0.02,5,173,0.02,-1,35,1155,2023-10-27,4020,2,134,215,67,-41.67,0,-47.58,0,0,0,0,0,1,0,0,0,0,42.72,69.61,40,77.46,62.33,100,405,0
2023-10-25,38,39622,谁说我不靠谱,Aren't I Reliable,4300,1063326,520,24513,1,0.01,2,160,0.02,120,80,2150,2023-06-28,0,0,0,0,0,72,100,60,0,0,0,0,4300,2,160,0,0,0,56.94,0,0,0,0,100,281,0
2023-10-25,39,39758,樱桃崮下,Ying Tao Gu Xia,4290,23979,43,798,1,0.01,7,143,0.02,6,20,613,2023-10-20,0,0,0,0,0,-37.28,-12.5,-37.28,0,1800,1,60,1320,2,44,0,1,0,22.1,0,0,0,0,100,647,0
2023-10-25,40,39568,远山花开,Blossom in The Mountains,4250,1294693.09,5890,58496,1,0.01,2,164,0.02,139,82,2125,2023-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,492,0
2023-10-25,41,38935,井冈星火,SPARKS OF FIRE IN JINGGANGSHAN,4235,16236434.52,7935,427114,1,0.01,4,121,0.01,181,30,1059,2023-04-28,0,1,0,120,0,-76.86,-20,-76.86,0,0,0,0,3255,2,93,0,0,0,22.04,0,25,0,0,100,549,0
2023-10-25,42,39753,黄鹤楼之盐道迷局,THE CONSTABLE AND THE SNAKE CHARMER,3940.8,69856.26,557,2242,1,0.01,49,125,0.01,6,3,80,2023-10-20,863,10,23,1106,2,-19.95,-28.99,-18.83,0.01,120,5,4,683.8,23,19,54,7,5,2.51,21.9,20.41,18.4,2.08,100,4985,0.01
2023-10-25,43,39661,萤火虫的天空,The sky of Firefly,3306,1448418.38,2165,41188,1,0.01,10,91,0.01,75,9,331,2023-08-12,0,0,0,0,0,2.37,11.11,-1.09,0,0,0,0,0,0,0,0,0,0,33.09,0,0,0,0,100,275,0
2023-10-25,44,39762,洋子的困惑,Yangzi's Confusion,2815.5,160403.91,1990,3945,1,0.01,186,77,0.01,-2,0,15,2023-10-28,2534.9,152,69,15626,0,-55.45,-11,-53.89,0.05,0,0,0,0,2,0,280.6,28,8,0.41,90.03,81.72,89.61,0.44,100,18590,0.04
2023-10-25,45,39174,以法之名,For Justice,2500,354395.9,503,17281,1,0.01,6,125,0.01,489,21,417,2022-06-24,0,0,0,0,0,0,0,0,0,0,0,0,1180,1,59,0,0,0,42.81,0,0,0,0,100,292,0
2023-10-25,46,39730,火凤重天,Phoenix in Fire,2450,465890.73,675,9339,1,0.01,14,49,0.01,-36,4,175,2023-12-01,0,0,0,0,0,58.06,16.67,58.06,0,0,0,0,1100,1,22,0,0,0,24.02,0,0,0,0,100,204,0
